1;0.660000
2;0.004000
3;0.004000
4;0.003000
5;0.005000
6;0.007000
7;0.007000
8;0.006000
9;0.008000
10;0.007000
11;0.008000
12;0.007000
13;0.007000
14;0.007000
15;0.007000
16;0.008000
17;0.008000
18;0.009000
19;0.007000
20;0.008000
21;0.005000
22;0.006000
23;0.007000
24;0.008000
25;0.007000
26;0.009000
27;0.007000
28;0.006000
29;0.010000
30;0.007000
31;0.007000
32;0.007000
33;0.008000
34;0.007000
35;0.007000
36;0.007000
37;0.007000
38;0.008000
39;0.008000
40;0.007000
41;0.009000
42;0.009000
43;0.010000
44;0.010000
45;0.012000
46;0.010000
47;0.009000
48;0.010000
49;0.010000
50;0.010000
51;0.010000
52;0.010000
53;0.010000
54;0.012000
55;0.013000
56;0.012000
57;0.012000
58;0.013000
59;0.013000
60;0.013000
61;0.013000
62;0.013000
63;0.014000
64;0.014000
65;0.014000
66;0.014000
67;0.016000
68;0.016000
69;0.016000
70;0.017000
71;0.017000
72;0.017000
73;0.018000
74;0.018000
75;0.018000
76;0.018000
77;0.018000
78;0.018000
79;0.020000
80;0.019000
81;0.020000
82;0.021000
83;0.021000
84;0.022000
85;0.022000
86;0.022000
87;0.023000
88;0.023000
89;0.023000
90;0.024000
91;0.025000
92;0.024000
93;0.025000
94;0.026000
95;0.027000
96;0.029000
97;0.070000
98;0.038000
99;0.028000
100;0.029000
101;0.028000
102;0.030000
103;0.030000
104;0.031000
105;1.016000
106;0.032000
107;0.031000
108;0.033000
109;0.033000
110;0.033000
111;0.033000
112;0.035000
113;0.035000
114;0.037000
115;0.036000
116;0.037000
117;0.038000
118;0.039000
119;0.040000
120;0.040000
121;0.041000
122;0.040000
123;0.042000
124;0.042000
125;0.042000
126;0.043000
127;0.044000
128;0.045000
129;0.044000
130;0.046000
131;0.046000
132;0.047000
133;0.049000
134;0.049000
135;0.051000
136;0.051000
137;0.050000
138;0.051000
139;0.051000
140;0.053000
141;0.054000
142;0.054000
143;0.054000
144;0.054000
145;0.055000
146;0.056000
147;0.057000
148;0.057000
149;0.057000
150;0.061000
151;0.061000
152;0.060000
153;0.060000
154;0.063000
155;0.063000
156;0.063000
157;0.063000
158;0.064000
159;0.066000
160;0.067000
161;0.067000
162;0.067000
163;0.069000
164;0.070000
165;0.070000
166;0.070000
167;0.071000
168;0.072000
169;0.073000
170;0.073000
171;0.076000
172;0.076000
173;0.077000
174;0.077000
175;0.078000
176;0.079000
177;0.080000
178;0.081000
179;0.084000
180;0.083000
181;0.085000
182;0.084000
183;0.085000
184;0.087000
185;0.087000
186;0.090000
187;0.091000
188;0.091000
189;0.091000
190;0.093000
191;0.095000
192;1.021000
193;0.095000
194;0.096000
195;1.035000
196;0.101000
197;0.109000
198;0.100000
199;0.103000
200;0.105000
201;0.103000
202;0.105000
203;0.105000
204;0.107000
205;0.107000
206;0.115000
207;0.108000
208;0.114000
209;0.117000
210;0.114000
211;0.113000
212;0.115000
213;0.116000
214;0.118000
215;0.117000
216;0.121000
217;0.119000
218;0.122000
219;0.122000
220;0.124000
221;0.131000
222;0.130000
223;0.130000
224;0.134000
225;0.129000
226;1.037000
227;0.135000
228;0.130000
229;0.132000
230;0.133000
231;0.140000
232;0.138000
233;0.136000
234;0.136000
235;0.139000
236;0.142000
237;0.144000
238;0.147000
239;0.143000
240;0.147000
241;0.146000
242;0.151000
243;0.149000
244;0.150000
245;0.156000
246;0.155000
247;0.163000
248;0.155000
249;0.158000
250;0.161000
251;0.168000
252;0.159000
253;0.162000
254;0.164000
255;0.163000
256;0.167000
257;0.165000
258;0.167000
259;0.167000
260;0.175000
261;0.179000
262;0.171000
263;0.174000
264;0.179000
265;0.177000
266;0.182000
267;0.180000
268;0.184000
269;0.181000
270;0.182000
271;0.192000
272;0.191000
273;0.189000
274;0.190000
275;0.199000
276;0.191000
277;0.194000
278;0.192000
279;0.201000
280;0.199000
281;0.196000
282;0.200000
283;0.200000
284;0.211000
285;0.206000
286;0.206000
287;0.208000
288;0.212000
289;0.208000
290;0.218000
291;0.219000
292;0.220000
293;0.216000
294;0.230000
295;0.229000
296;0.221000
297;0.227000
298;0.223000
299;0.222000
300;0.236000
301;0.234000
302;0.229000
303;0.234000
304;0.231000
305;0.231000
306;0.235000
307;0.237000
308;0.238000
309;0.239000
310;0.248000
311;0.256000
312;0.247000
313;0.255000
314;0.257000
315;0.247000
316;0.249000
317;0.254000
318;0.254000
319;0.255000
320;0.258000
321;0.258000
322;0.257000
323;0.271000
324;0.273000
325;0.275000
326;0.269000
327;0.275000
328;0.266000
329;0.271000
330;0.271000
331;0.272000
332;0.284000
333;0.293000
334;0.287000
335;0.291000
336;0.291000
337;0.297000
338;0.284000
339;0.291000
340;0.296000
341;0.290000
342;0.299000
343;0.308000
344;0.309000
345;0.307000
346;0.303000
347;0.310000
348;0.304000
349;0.309000
350;0.313000
351;0.316000
352;0.308000
353;0.325000
354;0.312000
355;0.323000
356;0.315000
357;0.315000
358;0.338000
359;0.323000
360;0.323000
361;0.327000
362;0.350000
363;0.330000
364;0.330000
365;0.333000
366;0.346000
367;0.337000
368;0.343000
369;0.353000
370;0.353000
371;0.348000
372;0.360000
373;0.349000
374;0.369000
375;0.362000
376;0.370000
377;0.363000
378;0.370000
379;0.374000
380;0.364000
381;0.373000
382;0.388000
383;0.370000
384;0.365000
385;0.368000
386;0.368000
387;0.374000
388;0.389000
389;0.376000
390;0.384000
391;0.403000
392;0.402000
393;0.393000
394;0.399000
395;0.392000
396;0.411000
397;0.403000
398;0.396000
399;0.419000
400;0.400000
500;0.626000
600;0.899000
700;1.260000
800;1.641000
900;2.126000
1000;2.621000
1100;3.128000
1200;3.610000
1300;4.134000
1400;5.039000
1500;5.729000
1600;6.707000
1700;7.625000
1800;8.378000
1900;9.389000
