Taille de Matrice,Temps 1 Jetson,Temps 2 Jetson,Temps 3 Jetson,Temps 4 Jetson,Temps 5 Jetson,Temps 6 Jetson,Temps CPU matrice transposée
369,0.145000,0.183000,0.228000,0.270000,0.300000,0.353000,0.167000
370,0.146000,0.186000,0.229000,0.272000,0.308000,0.353000,0.184000
371,0.146000,0.178000,0.228000,0.269000,0.308000,0.348000,0.168000
372,0.147000,0.189000,0.233000,0.276000,0.302000,0.360000,0.170000
373,0.148000,0.189000,0.232000,0.278000,0.316000,0.349000,0.170000
374,0.148000,0.189000,0.229000,0.270000,0.311000,0.369000,0.173000
375,0.149000,0.191000,0.237000,0.270000,0.316000,0.362000,0.181000
376,0.150000,0.191000,0.233000,0.286000,0.320000,0.370000,0.179000
377,0.152000,0.193000,0.236000,0.283000,0.319000,0.363000,0.177000
378,0.152000,0.194000,0.234000,0.275000,0.307000,0.370000,0.177000
379,0.152000,0.195000,0.237000,0.287000,0.319000,0.374000,0.181000
380,0.153000,0.190000,0.241000,0.271000,0.331000,0.364000,0.184000
381,0.153000,0.197000,0.239000,0.292000,0.339000,0.373000,0.183000
382,0.155000,0.199000,0.236000,0.282000,0.330000,0.388000,0.186000
383,0.156000,0.199000,0.242000,0.279000,0.339000,0.370000,0.185000
384,0.156000,0.201000,0.242000,0.297000,0.346000,0.365000,0.186000
385,0.157000,0.202000,0.249000,0.297000,0.319000,0.368000,0.202000
386,0.158000,0.203000,0.251000,0.297000,0.341000,0.368000,0.190000
387,0.159000,0.202000,0.249000,0.291000,0.348000,0.374000,0.191000
388,0.160000,0.203000,0.255000,0.304000,0.354000,0.389000,0.193000
389,0.161000,0.185000,0.245000,0.299000,0.345000,0.376000,0.195000
390,0.161000,0.205000,0.253000,0.282000,0.338000,0.384000,0.197000
391,0.162000,0.206000,0.250000,0.309000,0.355000,0.403000,0.200000
392,0.162000,0.206000,0.259000,0.280000,0.339000,0.402000,0.200000
393,0.165000,0.207000,0.248000,0.293000,0.363000,0.393000,0.200000
394,0.165000,0.214000,0.251000,0.310000,0.333000,0.399000,0.202000
395,0.166000,0.209000,0.263000,0.302000,0.334000,0.392000,0.206000
396,0.167000,0.207000,0.258000,0.314000,0.355000,0.411000,0.207000
397,0.167000,0.217000,0.264000,0.309000,0.362000,0.403000,0.224000
398,0.168000,0.216000,0.260000,0.317000,0.338000,0.396000,0.208000
399,0.169000,0.214000,0.269000,0.310000,0.348000,0.419000,0.211000
400,0.169000,0.215000,0.254000,0.322000,0.370000,0.400000,0.217000
500,0.266000,0.339000,0.413000,0.474000,0.566000,0.626000,0.412000
600,0.383000,0.487000,0.573000,0.709000,0.771000,0.899000,0.731000
700,0.523000,0.663000,0.774000,0.968000,1.040000,1.260000,1.152000
800,0.684000,0.865000,1.050000,1.217000,1.451000,1.641000,1.701000
900,0.872000,1.096000,1.341000,1.568000,1.719000,2.126000,2.468000
1000,1.077000,1.324000,1.573000,2.024000,2.395000,2.621000,3.313000
1100,1.310000,1.619000,1.943000,2.228000,2.966000,3.128000,4.415000
1200,1.561000,1.946000,2.415000,2.656000,3.316000,3.610000,5.703000
1300,1.813000,2.284000,2.785000,3.286000,3.590000,4.134000,7.254000
1400,2.123000,2.618000,3.264000,3.633000,4.422000,5.039000,9.331000
1500,2.409000,3.005000,3.657000,4.223000,5.092000,5.729000,11.285000
1600,2.773000,3.389000,3.989000,4.788000,5.508000,6.707000,13.688000
1700,3.099000,3.899000,4.706000,5.383000,6.397000,7.625000,16.337000
1800,3.536000,4.429000,5.248000,6.186000,7.377000,8.378000,19.509000
1900,3.978000,4.962000,5.429000,7.001000,8.019000,9.389000,22.816000
,,,,6.129000,,,
,,,,6.159000,,,
,,,,6.001000,,,
,,,,6.061000,,,
