Taille de Matrice,Temps 1 Jetson,Temps 2 Jetson,Temps 3 Jetson,Temps 4 Jetson,Temps 5 Jetson,Temps 6 Jetson,Temps CPU matrice transposée
85,0.011000,0.013000,0.016000,0.017000,0.019000,0.022000,0.003000
86,0.011000,0.017000,0.014000,0.017000,0.020000,0.022000,0.002000
87,0.012000,0.014000,0.015000,0.018000,0.020000,0.023000,0.002000
88,0.011000,0.014000,0.016000,0.017000,0.022000,0.023000,0.002000
89,0.012000,0.014000,0.018000,0.019000,0.020000,0.023000,0.003000
90,0.013000,0.015000,0.016000,0.019000,0.022000,0.024000,0.003000
91,0.012000,0.014000,0.017000,0.019000,0.021000,0.025000,0.003000
92,0.012000,0.014000,0.018000,0.019000,0.023000,0.024000,0.003000
93,0.012000,0.015000,0.017000,0.020000,0.022000,0.025000,0.003000
94,0.013000,0.014000,0.018000,0.021000,0.023000,0.026000,0.004000
95,0.025000,0.015000,0.019000,0.022000,0.024000,0.027000,0.003000
96,0.022000,0.026000,0.018000,0.022000,0.024000,0.029000,0.003000
97,0.013000,0.015000,0.019000,0.023000,0.025000,0.070000,0.003000
98,0.013000,0.024000,0.018000,0.022000,0.025000,0.038000,0.004000
99,0.014000,0.016000,0.019000,0.023000,0.026000,0.028000,0.003000
100,0.014000,0.016000,0.020000,0.022000,0.025000,0.029000,0.004000
101,0.013000,0.017000,0.020000,0.023000,0.026000,0.028000,0.003000
102,0.015000,0.026000,0.021000,0.023000,0.026000,0.030000,0.004000
103,0.014000,0.017000,0.020000,0.023000,0.027000,0.030000,0.004000
104,0.014000,0.017000,0.020000,0.023000,0.026000,0.031000,0.004000
105,0.015000,0.017000,0.021000,0.024000,0.027000,1.016000,0.005000
106,0.015000,0.017000,0.021000,0.024000,0.027000,0.032000,0.004000
107,0.016000,0.018000,0.022000,0.025000,0.028000,0.031000,0.004000
108,0.016000,0.018000,0.022000,0.026000,0.029000,0.033000,0.004000
109,0.016000,0.018000,0.022000,0.025000,0.029000,0.033000,0.005000
110,0.027000,0.018000,0.023000,0.026000,0.030000,0.033000,0.005000
111,0.016000,0.018000,0.023000,0.026000,0.030000,0.033000,0.005000
112,0.016000,0.018000,0.024000,0.026000,0.031000,0.035000,0.005000
113,0.017000,0.018000,0.023000,0.028000,0.031000,0.035000,0.005000
114,0.016000,0.019000,0.025000,0.027000,0.031000,0.037000,0.005000
115,0.017000,0.020000,0.024000,0.027000,0.032000,0.036000,0.005000
116,0.017000,0.021000,0.024000,0.028000,0.032000,0.037000,0.006000
117,0.018000,0.021000,0.025000,0.029000,0.034000,0.038000,0.006000
118,0.018000,0.021000,0.026000,0.029000,0.034000,0.039000,0.006000
119,0.017000,0.021000,0.024000,0.030000,0.035000,0.040000,0.006000
120,0.018000,0.021000,0.024000,0.030000,0.034000,0.040000,0.006000
121,0.018000,0.021000,0.025000,0.030000,0.034000,0.041000,0.007000
122,0.018000,0.022000,0.026000,0.031000,0.035000,0.040000,0.006000
123,0.019000,0.021000,0.027000,0.032000,0.036000,0.042000,0.007000
124,0.019000,0.022000,0.026000,0.032000,0.038000,0.042000,0.006000
125,0.020000,0.022000,0.027000,0.032000,0.038000,0.042000,0.007000
126,0.019000,0.023000,0.027000,0.032000,0.037000,0.043000,0.007000
127,0.020000,0.023000,0.028000,0.033000,0.038000,0.044000,0.007000
128,0.020000,0.024000,0.028000,0.034000,0.040000,0.045000,0.007000
129,0.021000,0.024000,0.028000,0.035000,0.039000,0.044000,0.008000
130,0.020000,0.024000,0.029000,0.033000,0.040000,0.046000,0.007000
131,0.020000,0.027000,0.028000,0.035000,0.041000,0.046000,0.008000
132,0.021000,0.027000,0.029000,0.036000,0.041000,0.047000,0.008000
133,0.022000,0.028000,0.029000,0.036000,0.042000,0.049000,0.008000
134,0.022000,0.027000,0.030000,0.036000,0.042000,0.049000,0.009000
135,0.023000,0.028000,0.035000,0.037000,0.043000,0.051000,0.009000
136,0.023000,0.026000,0.031000,0.037000,0.043000,0.051000,0.008000
137,0.023000,0.027000,0.034000,0.040000,0.052000,0.050000,0.008000
138,0.023000,0.028000,0.041000,0.039000,0.056000,0.051000,0.008000
139,0.023000,0.029000,0.040000,0.038000,0.045000,0.051000,0.009000
140,0.024000,0.028000,0.035000,0.039000,0.047000,0.053000,0.010000
141,0.023000,0.029000,0.035000,0.039000,0.046000,0.054000,0.010000
142,0.024000,0.029000,0.038000,0.040000,0.049000,0.054000,0.010000
143,0.025000,0.029000,0.036000,0.041000,0.050000,0.054000,0.011000
144,0.025000,0.030000,0.036000,0.043000,0.049000,0.054000,0.010000
145,0.025000,0.030000,0.036000,0.042000,0.049000,0.055000,0.010000
146,0.025000,0.031000,0.037000,0.043000,0.051000,0.056000,0.010000
